iter	Passed	Remaining
0	38	5738
1	63	4672
2	92	4512
3	115	4200
4	138	4027
5	165	3964
6	191	3903
7	218	3871
8	242	3801
9	274	3837
10	300	3796
11	324	3728
12	349	3679
13	374	3636
14	397	3579
15	422	3542
16	448	3505
17	471	3457
18	495	3418
19	518	3368
20	542	3332
21	566	3298
22	592	3272
23	616	3234
24	639	3199
25	663	3162
26	687	3130
27	710	3094
28	735	3067
29	758	3033
30	782	3004
31	807	2976
32	831	2948
33	859	2931
34	884	2905
35	909	2879
36	934	2854
37	959	2828
38	982	2797
39	1008	2774
40	1033	2747
41	1059	2724
42	1087	2707
43	1111	2677
44	1135	2650
45	1160	2624
46	1184	2596
47	1211	2574
48	1238	2552
49	1263	2527
50	1287	2500
51	1312	2474
52	1338	2449
53	1362	2423
54	1388	2399
55	1415	2376
56	1440	2351
57	1465	2325
58	1491	2300
59	1516	2275
60	1542	2250
61	1568	2225
62	1594	2201
63	1619	2176
64	1644	2150
65	1671	2126
66	1696	2101
67	1721	2076
68	1746	2050
69	1771	2024
70	1797	2000
71	1820	1971
72	1838	1939
73	1857	1907
74	1875	1875
75	1894	1844
76	1912	1812
77	1930	1781
78	1948	1750
79	1966	1720
80	1984	1690
81	2002	1660
82	2021	1631
83	2039	1602
84	2059	1574
85	2077	1546
86	2095	1517
87	2114	1489
88	2133	1462
89	2151	1434
90	2169	1406
91	2188	1379
92	2207	1353
93	2225	1326
94	2243	1299
95	2262	1272
96	2280	1245
97	2298	1219
98	2317	1193
99	2335	1167
100	2354	1142
101	2371	1116
102	2389	1090
103	2407	1064
104	2426	1039
105	2444	1014
106	2462	989
107	2481	964
108	2499	940
109	2517	915
110	2536	891
111	2553	866
112	2572	842
113	2591	818
114	2609	794
115	2627	769
116	2644	745
117	2663	722
118	2681	698
119	2699	674
120	2718	651
121	2736	628
122	2755	604
123	2773	581
124	2791	558
125	2810	535
126	2829	512
127	2848	489
128	2866	466
129	2885	443
130	2904	421
131	2922	398
132	2941	376
133	2960	353
134	2978	330
135	2996	308
136	3015	286
137	3033	263
138	3052	241
139	3070	219
140	3088	197
141	3106	175
142	3124	152
143	3143	130
144	3161	109
145	3179	87
146	3198	65
147	3218	43
148	3237	21
149	3255	0
